PROCESS_NAME	[FILL] means	CONDITION_AGENT/OBJECT	CONDITION_VERB	CONDITION_PATIENT	DURATION1	SCOPE1	QUALIFIER (rarely/sometimes/usually/always)	[FILL] causes	RESULT_AGENT	RESULT_VERB	RESULT_PATIENT	DURATION2	[FILL] for	FOR/PURPOSE	QUANTITY/RANGE	SCOPE2	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
		acid					can	cause	chemical change								#1802		8224-9b5f-01f9-ba94	
		bacteria					sometimes	cause	disease								#783		efa9-d54e-94fb-7f4e	
		bacteria					can	cause	people	to become ill							#1256, decompose using previous row		72a4-c6f3-e68c-7836	
		bacteria; viruses						cause	food poisoning								# Q 923		5611-cf44-6cd6-2aed	
		buildings	collapsing				often	causes	death								#1649		3762-b90b-1f83-4068	
		chemical	splashing				can	cause		harm	to humans; to the eyes						# Q 997		891a-752f-b9c8-25e1	
		chemical reactions						cause	chemical change								#280		0f0d-2cc5-fcc1-3c1f	
		chemical reactions						cause	new substances; different substances	to form							#278		3dca-07f2-1404-d404	
		cold temperatures; cool temperatures						cause	animals	to shiver							# 1319		34e8-e10d-e464-de1f	
		rocks	contacting; rubbing	each other	over long periods of time			causes	those rocks	to smooth							#599		b3f4-9bbd-487f-8643	
		crops; farming						cause	nutrients in the soil	to decrease							#1219		7dcd-a12c-54b1-a787	
		cycles of	freezing and thawing	water				cause		ice wedging									4730-e0f3-6d20-0e0e	
		drought					may	cause	wildfires								#557		a603-7574-10cf-966e	
	the	Earth	being tilted			on its axis		causes	one side of the Earth; one hemisphere	to receive	less energy from the Sun					than the other side	#1266, coupled?		31d9-98d7-6a10-9053	
	the	Earth	being tilted			on its rotating axis		causes	seasons								# 598, maybe redundant		0b7b-cf23-e64f-4200	
		Earth	orbiting	the Sun				causes	seasons	to change							#2081		f59f-261f-52a9-1771	
	the	Earth	revolving	around the Sun				causes the	seasons	to change; to occur	on its axis						#1264, refactoring, coupled with the one on top of it?		1cca-1ac1-5bea-5cf6	
	the	Earth	revolving			around the sun		causes	stars	to appear 	in different areas in the sky	at different times of year					# Q 47		b018-4375-d391-cb98	
	the	Earth	rotating			on its axis		causes 	stars; the Moon	to appear to move	across the sky	at night							49f5-727d-92b5-03aa	
	the	Earth	rotating			on its axis		causes the	Sun	to appear to move	across the sky	during the day					# 203 		73fa-1e22-26a8-1a7c	
		Earth's tilt				on its rotating axis		causes	seasons	to change; to occur							# 87		66df-2200-f730-17c3	
	an	earthquake						causes the	ground	to shake							# Q 666		457d-1a26-5f9e-04e6	
		earthquakes	folding	rock layers				causes	older rock	to be on top of	younger rock						#1011		3bbf-bcf5-c798-f7e7	
		earthquakes						cause	rock layers	to fold						on top of each other	#1011		72a7-76e4-7f5d-03ab	
		electrical current	running through	a wire				causes	that wire	to heat up; to become warm							# Q 972		3e57-14d2-b5aa-9c07	
		electricity						causes	less pollution							than gasoline	#579		c560-8c82-4151-235c	
		electrocution						causes		harm	to an organism						#737		7409-4a52-a23a-0c5c	
		erosion						causes	deposition								# Q 1181		7e2e-e161-5c98-444e	
		erosion						causes a	river	to become deeper and wider							# Q 1733		7c09-899f-1401-2b64	
		erosion					usually	causes		harm	to the environment						# specify to "soil erosion" causing harm to humans/farmers fields/soil quality, or keep generic?		a12e-c34a-ab3d-d601	
		erosion; storms					can	cause a	landslide								#711		ad27-ad14-2ed7-2b55	
		evaporation						causes	amount of water	to decrease							#737		cdb8-46e7-0df7-0a20	
		explosions					can	cause		harm	to an organism						#2003		774b-6b2d-30c6-71c0	
		extreme temperatures						cause an	organism's energy levels	to decrease							#590		0025-a087-5991-7f66	
		fire						causes		burning							(pj: Hmmm. Is this one technically correct? should this be refactored to "heat causes burning"? )		4dc5-13bf-3c46-af74	
		fire						causes		harm	to trees; to forests; to living things								8341-4d61-aa1c-ffbd	
	a	force	acting	on an object		in the opposite direction that the object is moving	can	cause	that object's speed	to decrease						in a forward motion	# Q 236		8ee7-24ec-255f-d9fe	
	a	force	continually acting	on an object		in the same direction that the object is moving	can	cause	that object's speed	to increase						in a forward motion	# Q 236		897e-080a-cbfa-6224	
		force						causes the	speed of an object	to increase; to decrease							#1352		d10e-17d2-b2db-e326	
		friction						causes	speed	to decrease							# Q 310, could be a changedVec?		965e-d62d-3e68-c22c	
