PROCESS_NAME/ ACTION	[FILL] means	ADJ	AGENT/OBJECT	SCOPE1	[FILL] are	ACTION	DIRECTION	[FILL] a/the	QUANTITY	PATIENT	[FILL] for	FOR/PURPOSE	[FILL] through	BY/THROUGH/HOW	SCOPE2	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
heating	means						adding			heat							"direction=heat" ok?		9469-8559-7f35-1bbd	
melting	is when		solids		are		heated									above their melting point			8cbb-8bf8-bfbd-681e	
cooling;colder	means						removing;reducing;decreasing			heat;temperature									3a9b-81b5-1a3a-40a0	
magnifying	makes					seeing small things	easier						through	using a magnifying glass; using a microscope			# break apart "seeing small things"?   (patient?  purpose?)		97fc-be7c-5115-2a2e	
boiling	is when		liquids		are		heated									above their boiling point			ae9d-5e74-afa3-d031	
condensing	is when		gasses		are 		cooled									below their boiling point			3e90-e3f3-440d-008e	
		some animals'	fur				grows thicker				for	staying warm			in the winter				84a3-fb47-5416-db66	
soil erosion	means		soil				loss						through	wind;water; animals			# "loss" okay?		5e75-4bbb-dae0-311f	
winter	means	environmental; outdoor	temperature				decreases										# Originally 161.  "During winter, the temperature decreases".  Might belong to a different table? (EVENT -> result?)		d428-62e1-fa35-44c4	
growth	means		size;number;value;strength				increases												8a51-fb44-d9d2-73ae	
recycling							reduces; decreases	the	amount of	waste					sent to landfills		# needs structural work		ce64-9ef7-3084-5195	
polluting	means		something poisonous		is		added to	an		environment									4d82-5c75-1ac1-abdd	
drought	is when		available water				decreases								in an environment				3492-2519-a7cc-d552	
heat	means		temperature				increases												7afc-2bcd-13a5-2d35	
falling	means					moving	downward												2522-2f06-9dd6-6bf1	
drying	means		amount of water; amount of liquid; wetness				decreases												85c8-f683-bc89-7bc5	
cooling	means		temperature				decreases												b71d-3add-69c0-1d03	
warm; becoming warm	means		heat		is		added										"direction=heat" ok?		39ec-9974-829d-ba5e	
sinking	means					moving	down												ed1e-f72b-9918-7c56	
drought	is when		amount of precipitation				decreases										# also add "amount of available water" decreases? (for 1352) 3492-2519-a7cc-d552		2298-6f12-b46e-4f4e	
loosening	means 						decreases										# bad sentence	Low quality. No uses.	b110-ef2a-6b8e-6d73	
boiling	means the		volume of a liquid				decreases												cdef-3753-0d9d-1e92	
attract	means					move	closer												6e2c-b252-430e-971b	
growing	means	a plant's	height;mass;size				increase										# 456		15b7-2dad-aa86-409b	
growing	is when an	animal's	height;mass;size				increase												3c39-efea-ce7b-afa8	
panting	is when an	animal's	body		is		cooled						by	hanging out their tongue			# 1060		a6e0-b058-5e81-743d	
			amount of water	in a body of water			increases						by	storms; rain; glaciers melting; snow melting; ice melting					19c9-47bf-de91-1f2e	
recycling							reduces	the		resources needed	to	make something					# 1105		bbe2-8087-7d0d-2480	
growing larger	is when		size				increases										# Q 140		0672-8ba1-8bef-c7c2	
			exercise				increases	a		body's strength							#170		e28b-b306-768c-9265	
protection	means		resistance	to damage			increases										# Q 1 		bbeb-6bd2-a93f-7e6c	
losing			something				decreases	the	amount of	that something							# Q 467		bbaf-fd47-e244-3163	
hiding	means		visibility; ability to be seen				decreases				for	camouflage							60e9-1f2b-145c-00bd	
			decomposition				increases	the 	amount of	nutrients; nitrogen					in the soil		# Q 10		39b8-47a9-eee1-d2d4	
climbing							increases			altitude							# Q 214		375c-f58a-32b0-42bf	
	a		source	of something			increases	the	amount of	that something							# Q 651		da68-3173-2681-d90e	
	a		thermal insulator				slows; prevents	the	transfer of	heat							# Q 936		a469-8103-d86d-9765	
storing			water				increases	the		water available to organisms					in a dry environment		#1008		7626-ebfe-aa54-61db	
			carbon dioxide concentrations	in the air			have increased								over the last decade	dramatically	#1013		ff69-4994-ef75-6ef3	
	an		electrical insulator				slows; prevents	the	transfer of; flow of	electricity							#1054		0ad2-d22e-525e-0038	
positively impacting	an	organism's	survival				increases	the	likelihood of	survival					of that organism		# Q 1127		b42b-3273-90bc-24a0	
			pasteurization				reduces	the	amount of	bacteria					in milk		#1256		0b35-65f7-11a2-d41e	
			something that is used for communication				increases			communication							#1296		95f3-60ac-0a8c-04ca	
	the		looseness	of soil			increases	the	amount of	oxygen					in that soil		#1346		1ab8-7900-02c0-a2d6	
			spring				increases	the	amount of	available food					in an environment		# Q 1126		cc1b-e49e-5ba9-05af	
destroying			something				decreases	the	amount of	that something							# Q 1536		84bb-0231-2480-1c8b	
using		less of	a resource				increases	the	availability of	that resource							#1629		57c5-f27f-1d68-9a7a	
			gravity			pulls objects	towards			planets							#1642		8025-2d3b-7ecb-0aff	
having a positive impact on			reproduction				increases	the	chance of	reproduction							# Q 1595		f7af-2923-694c-51cf	
using		raw	materials				increases			waste							#1836		1875-8ce4-1858-8652	
	an		exothermic reaction				increases	the	amount of	heat							# Q 1791		ed83-0798-7781-6842	
carpooling							decreases	the 	number of	cars needed	to	travel			to a place		#2038		7fce-27b1-e8ef-0b83	
		bad	weather				decreases			visibility					while driving		#2092		703d-4bda-4bbc-790e	
			windshield wiper				increases			visibility					while driving in bad weather		#2092		cafa-1156-b030-e5db	
shrinking							decreases			size							# Q 1968		628f-08c3-a230-9bfb	
adding			salt	to a liquid			decreases	the		melting point					of that liquid		#1814		be88-c9f0-da8b-be7a	
