[FILL] a/the	ADJ	THING	QUALIFIER	SCOPE1	ACTION1	PATIENT	[FILL] a/the (optional)	COMPARISON	ATTRIBUTE	WHAT	SCOPE2	[FILL]than	[FILL] the/a	THING-COMPARED	ACTION2	SCOPE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
		gas			has		a	a lower		melting point		than 		liquid					9262-950a-15c4-21e8	
		liquid			has		a	a lower		melting point		than 		solid					8acd-cc48-2a22-3e00	
		red giant stars 			are			greater	in volume			than 		main sequence stars					abd0-0bef-48f6-1764	
		red giant stars 			are			cooler	in temperature			than 		main sequence stars					e31c-548b-06b7-3674	
		red giant stars 			burn at		a	cooler	temperature			than 		main sequence stars					ced1-06b4-a06c-4576	
	renewable	resources			are replenished			more quickly				than 		they	are used				9997-39e4-b71d-1e0d	
	non-black	objects			absorb			less		amount of sunlight		than 		black objects					3c5a-d20d-5c28-6b2b	
	black	objects			absorb		the	most		amount of sunlight									8ecf-536f-d882-ff06	
	white	objects			absorb		the	least		amount of sunlight									a0c7-b0f4-3d60-28cf	
	darker	objects			absorb			more		sunlight		than 		lighter objects					d216-ed40-591f-e650	
		Nevada mines			produces			more		gold		than 		other state					c8e2-98be-74c4-ed66	
the		crust			is		the	thinnest		layer	of Earth								d069-01b5-1857-1e9e	
		organs			are		a	smaller		level of organization		than		organ systems		in living things			7ca0-1089-bc86-607b	
		summer			has		the	most		sunlight									564e-eb72-a12b-dbaa	
		winter			has		the	least		sunlight									0be4-4606-4a12-f564	
		metamorphic rocks			are			harder				than		sedimentary rocks					50f6-6629-e2e5-5526	
the		air		over land	is			less warm; less humid; less moist				than	the	air		over ocean			1c46-75fe-983f-4d60	
		ocean			is		the	largest		body of water	on Earth								b796-7088-2b45-5543	
an		ocean			is			larger				than	a	river					fe73-be86-1f03-5794	
the		atom			is		the	smallest		unit; particle	that has the properties of an element								9059-174e-fc66-fd7a	
		cells			are		a	smaller		level of organization		than		tissues		in living things			85d2-d559-7a0a-aa1d	
a		domain			is		the	broadest		group	into which organisms can be classified								2ca3-02db-0e83-8add	
		desserts		usually	have			less		nutrients		than		other food					b533-486f-b4ef-9f35	
a	warm	environment	usually		has			more		food		than	a	cold environment					3790-b270-8d3d-1eb6	
		helium			is			lower; less	in density			than		air					72a5-1765-e949-fbcc	
a		hill			is			more rounded				than	a	mountain					e0d7-0844-65c7-8fc5	
a		law			is			more accepted; more tested				than	a	theory					86ee-237a-77cd-1a4e	
	living	things		in the same class	are			more closely related				than		living things		in different classes			1335-3054-6045-64e9	
the		mantle			is		the	thickest; largest		layer	of the Earth								4304-bb9c-ab60-91fd	
		metals	usually		have			higher; greater		conductivity		than		nonmetals					116e-9e09-bc2b-5162	
		metals	usually		have			higher 		melting points		than		nonmetals					0ec5-4fef-39bb-0071	
a	planet's	moon			is			smaller				than	that	planet					3e43-6c70-96a7-964f	
the		moon			is			less bright				than	the	Sun					53cf-161f-7a43-8925	
the		Moon			has			less		water; air		than	the	Earth					d4af-f053-7231-894d	
a		mountain			is			taller				than	a	hill					456d-ae75-254e-3289	
