[FILL] a	ADJ	OBJECT/AGENT	QUANTIFIER	[FILL] contains	QUANTITY/RANGE	WHAT IT CONTAINS	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
	acidic	rainwater		contains		acid						#1802		1632-1fa8-8c28-5669	
		fruit		contains		seeds								ef49-c852-8727-d2dd	
the		body	of an animal	contains		arteries; veins						#1302		f4b3-b8dc-89a2-0c84	
the		waste	of an animal	contains		nitrogen						#571		391c-4df9-175e-987e	
	arctic	environment		covered in 		snow						# belongs here, or in specialized environment properties table?	Moved to Prop-EnvironmentAttrib	4f52-2d1c-8911-a996	
the		atmosphere		contains		gases; liquids; solids						#2061		f1c6-1bc9-dda0-fc31	
a		balloon		contains		gas								b859-0a35-7eea-8222	
a	beach	ball 		contains		gas						#800		0b3c-fc05-1642-9a08	
a		berry		contains		seeds						# Add for/purpose		7f04-fd94-0d22-9ee4	
a		bicycle		contains		levers; wheels and axles; pulleys; screws						#743	SW 50be-644b-a1be-7fb1	f684-f2bb-f419-a1f1	
		bladders	can	contain		urine							Potential rule -- IF X is used for storing Y, then X can contain Y.  	8334-8d96-8065-aa1c	
a		body of water		contains		water								b927-5436-1d17-c396	
		breath		contains		water vapor						# Q 1583		ece6-3b70-33f4-3b98	
a		bubble		contains		gas						# Q 669		a0e7-290b-5de1-5648	
a	carbonated	beverage		contains		dissolved carbon dioxide						#1856		3145-65d7-0fa3-5857	
a		channel		contains		moving water								65d2-8c35-9f57-0830	
a		chloroplast		contains		chlorophyll								e856-9caa-346e-b925	
	cold	environments		contain	few	organisms						#838		d0ac-f4c5-d526-2831	
a		constellation		contains		stars						# Q 47, is okay?		db62-4c2e-6a9d-8b12	
a		container	of water	contains		water							REFACTOR -- IF a something is a container of X then it contains X	055f-62da-6f0f-9be5	
a	desert	environment		contains	very little	food						#741	SW 38b2-29c9-81cd-f86a	9bf8-7511-a722-e068	
a	dry	environment		contains	little	water						#1008	SW f92e-c721-2ec3-30f2	7376-0d97-1227-bd6a	
the		Earth		contains	many	ecosystems						#484		49a0-acc7-6fce-867f	
an		ecosystem		contains	a large community of; large numbers of	living organisms								7a75-f74f-4c98-0f01	
an		ecosystem		contains		nonliving things						#569		8635-6b8d-0003-dc16	
an	electric	car		contains	an	electric motor						#1239		9d1d-a854-c8ac-a4db	
an		electromagnet		contains		a wire; cylindrical ferrous metal								f2e1-4ca1-4bfd-cbce	
	ferrous	metals		contain		iron								7114-deda-e0a0-d3e9	
		fertilizer		contains		chemicals						#581		a288-7e08-49cc-7661	
a		field		contains		soil								2cc1-d93b-cea8-3b51	
a		flower		contains		pollen	for	sexual reproduction						5505-0403-08c0-3571	
		food		contains		nutrients	for	living things				# For/purpose is implicit?	SW a4c9-5ade-9cc2-f3f0	Good	
		food		contains		nutrients	for	living things						a4c9-5ade-9cc2-f3f0	
		food		contains		carbohydrates								d11d-a195-7042-efcc	
a		forest		contains 	lots of	plants; trees								a54a-a04c-71eb-ba0a	
a		glass		contains		water								d9da-e54d-cd61-36aa	
		grass	does not	contain		wood						# Q 102		1d29-f8d7-5834-aa6c	
a		kit		usually contains		materials	for	assembling something				# Q 13, refactor table w/ qualifier?		f8d3-af6e-2588-10ed	
the		life cycle		contains		the stages					between birth and death		No uses.	2d20-2234-7bcb-52be	
a		limb	often	contains		bones						# Q 1563		a237-4e63-f4c8-5e35	
the	lunar; moon's	surface		contains	many	craters								c13a-75d9-afb9-ad21	
a		magnet		contains a		north pole; south pole								6c20-4dbe-71da-0428	
the		moon	does not	contain		air; water						#1414		982f-f6c0-b9e8-e203	
the 	moon's	surface		contains		highlands						# Q 89		893f-916b-8ee1-9b98	
the 	moon's	surface		contains		flat areas 						# Q 89		3583-4f7d-77df-e26c	
a	multicellular	organism		contains	more than one	cell								fd39-82bf-ca1d-2605	
the	muscular	system		contains		muscles						#1307		0685-babe-a257-9fbe	
a	natural	ecosystem		contains		native living things					only	# Scope?		9ed1-18d0-0ac0-c299	
the	nervous	system		contains		nerves						# Q 1564		4695-199f-eeab-4611	
the		ocean		contains	large amounts of	salt water								a67b-a673-e85b-6310	
an		ocean		contains		waves						#1282		3836-b248-bdff-be59	
		oceans		contain	most of 	earth's water						# Q 67		c0ad-4856-2d41-4fa9	
		pencil lead		contains		mineral graphite						#735		73ef-3026-389a-20a2	
a	plant	cell		contains		chloroplasts						#732		4e64-cd5b-9e82-e218	
a		plant stem		contains a		system of tubes	for	transporting water and nutrients			to other parts of the plant	# Q 75		d534-dac5-f81f-1e26	
a		pumpkin		contains		seeds								c0ed-56a6-3f1e-b66c	
		refrigerators		contain		harmful chemicals						#440		89d4-504e-26ea-25da	
		rocks	often	contain	large amounts of	metal						# Q 672		f853-8175-3c98-28c5	
		rocks	sometimes	contain		aluminum						# Q 672		5c99-06b6-7e1e-f150	
		rocks	sometimes	contain		iron						# Q 672		49e4-dd5f-a48b-76cc	
		room		contains		walls						#1211		1c37-9df2-350b-3c5a	
