[FILL] a/the	HYPONYM	[FILL] is a kind of	SCOPE1	HYPERNYM	[FILL] for	FOR/PURPOSE	BY/THROUGH/HOW	SCOPE2	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
	ability	is a kind of		characteristic						#3250		dd38-58f9-345e-8dc4	
the	ability to grow	is a kind of		trait						#1367		0d2a-34ad-e231-a167	
the	ability to reflect off of a surface	is a kind of		characteristic						#1208	SW 4f98-e74f-86e5-4975	cc0c-1716-b089-2d07	
	absorbing	is a kind of		function						# Q 1552		8a87-904f-85e9-deb5	
	absorption	is a kind of		event						#2864		b570-0d72-0d97-d767	
an	acacia 	is a kind of		tree						# Q 2535		6689-6a94-220b-4906	
an	acorn	is a kind of		seed						#858		5bfa-ddb1-fcd5-0079	
an	adaptation	is a kind of		change								e408-b84f-10e9-cf17	
an	adaptation	is a kind of		characteristic						# Q 1127		da2b-fb92-41aa-b359	
	adding	is a kind of		activity						#2004		5663-a8e3-1f5e-df3e	
	adding something	is a kind of		change								1a46-09fd-bf55-7001	
	Africa	is a kind of		continent						#2300		c9be-a90c-a8de-665c	
	air	is a kind of		gas								70ac-58d8-10b4-1313	
	air	is a kind of		matter						#416		0b2c-f8af-7823-d253	
	air	is a kind of		medium	for	light						ac9a-6d31-d96f-51cd	
the	air	is a kind of		mixture						# Q 2726	SW 442c-6b3e-0b69-467d	7acf-d960-5965-ec12	
the	air	is a kind of		substance						# Q 2726		3ed6-1fa7-1a63-34a0	
an	airplane	is a kind of		vehicle						#771		182e-6373-acc4-bde3	
an	airport	is a kind of		port	for	airplanes				#2850		62a8-bf6c-fa4a-887a	
	albumen	is a kind of		fluid; liquid						# Q 2236		c6a3-8f49-87aa-c9d6	
	alcohol	is a kind of		liquid						# Q 2465		a9db-8f34-d2e1-50f7	
an	algae	is a kind of		organism						#443		28d3-fb60-bdd3-d10c	
	algae	is a kind of		living thing						# Q 2738		d80d-87bd-cc4b-bf38	
	algae	is a kind of		plant						#3307		65ae-2928-0696-d8a9	
an	alkaline earth metal	is a kind of		element						# Q 2419		27ac-74b2-541c-f0eb	
an	alligator	is a kind of	aquatic	animal						#1343		5086-b21f-9f0a-e67d	
the	Alps	are a kind of	mountain	range						#2000		7056-db73-6d86-2bf1	
	aluminum	is a kind of		element								4c25-b5f8-13bf-6b86	
	aluminum	is a kind of		matter								26a1-5a20-e241-28f1	
	aluminum	is a kind of		metal								a580-1b9e-6ec9-a275	
	aluminum	is a kind of		nonrenewable resource							Moved to PROP-RESOURCES-RENEWABLE	f5e4-ab86-f5de-6a5f	
an	amoeba	is a kind of	single-celled	organism								ab12-f588-a1af-90a0	
an	amoeba	is a kind of		organism						#3052, should be "a single celled organism is a kind of organism"		7a25-e004-fe5d-2cb4	
an	amphibian	is a kind of		animal						#434		3740-c11d-832c-96f2	
an	amphibian	is a kind of		vertebrate						#1687		0b44-0582-f4ba-58c2	
an	anchor	is a kind of		object						# Q 2741		8b86-e8d3-5b44-048e	
an	anemometer	is a kind of		instrument	for	measuring wind speed						ad64-e231-181e-0684	
an	animal	is a kind of		consumer						#1316		c799-dee0-451a-dd60	
an	animal	is a kind of		living thing								bb63-bcc5-0cd8-72db	
an	animal	is a kind of		living thing							Duplicate. All uses deleted.	34b7-df26-54b7-5ad8	
an	animal	is a kind of		organism								10ce-c060-90b9-b748	
an	animal	is a kind of		eukaryote						#2369		eee6-dccc-b5f5-6132	
an	animal cell	is a kind of		cell						# Q 79		2702-7db2-6eb1-e03f	
an	ant	is a kind of		insect						#1048		5079-3873-b0ab-85a3	
	Antarctica	is a kind of		desert						# Q 2243		aaf1-ad9f-03c8-a981	
the	Appalachian Mountains	are a kind of		mountain						# Q 43 		4a96-2fb6-33e3-a914	
the	Appalachians	are a kind of	mountain	range						#2000		b2a3-bc18-29f0-d92b	
an	apple	is a kind of		fruit								440e-272e-8e84-6b1e	
an	apple	is a kind of		fruit							Duplicate. All uses deleted.	d3b7-af44-8672-5eeb	
an	apple tree	is a kind of		plant								00a7-56fc-3c22-e6f2	
an	aquarium	is a kind of		ecosystem						#3187		0343-0d55-867c-5913	
an	aquatic animal	is a kind of		animal								b80f-f372-967d-6ac4	
an	arch	is a kind of		land formation						#355		0c28-b3cd-bb77-d385	
the	arctic	is a kind of		environment								c7b7-2fdc-e793-309e	
the	arctic 	is a kind of		environment							Duplicate. All uses deleted.	9097-513f-034b-0454	
the	Arctic Ocean	is a kind of		ocean						# Q 1720		66b8-769e-1915-e8a1	
	area; space	is a kind of		resource						# Q 2247		f56c-18fe-ffb6-4189	
	argon	is a kind of		element						# Q 2726		d4bb-ca38-ce3c-fc66	
an	Arizona mountain king snake	is a kind of		snake						#554		d5fd-46c9-0da1-cd27	
an	arm	is a kind of		limb						# Q 1538		a93c-2971-18d2-ebed	
an	article of clothing	is a kind of		object						#716		3d61-550e-57ae-b045	
	asphalt	is a kind of		road surface								b093-b6c0-74b9-27c2	
	assembly	is a kind of		function				of a factory		#2611		70c7-36da-d751-1140	
the	assembly line	is a kind of		invention						#3380		34e4-afb3-fd51-3bfd	
an	asteroid impact	is a kind of		event						#2392		9240-3fcc-f91a-0962	
an	astronaut	is a kind of		human						#2855		3fa8-8bfe-8270-9fe3	
	astronomy	is a kind of		branch				of science		#1841		6932-0017-f9ba-bd0e	
the	atmosphere	is a kind of		area						#2061		dcb8-493b-65be-44b6	
an	atom	is a kind of		object								9863-d20e-e589-510a	
	attracting	is a kind of		function; activity						# Q 1557		3876-3549-b081-abe3	
	August	is a kind of		month								8fbd-c9cc-fe18-e80c	
the	automobile	is a kind of		technology						#589		f8ad-6ff2-e6fa-3dee	
an	automobile	is a kind of		vehicle						#589		7cb7-40ac-f4d5-eb6c	
	Autumn	is a kind of		season								2526-2b72-2cb0-0beb	
	avoiding	is a kind of		defense						# Q 1113		ac40-1cc5-4994-7922	
	avoiding predators; escaping predators; avoiding consumers	is a kind of		protection						#512		9a54-14e7-f8f4-6375	
	away	is a kind of		direction						#1642		61be-4253-9acc-ea77	
a	baby	is a kind of	young	animal								9821-0c40-6f55-0b6d	
	bacteria	is a kind of		pathogen				sometimes		#2864		a6b3-0704-7aa1-879d	
a	bacterium	is a kind of		decomposer								8c18-8f91-c1ab-742b	
a	bacterium	is a kind of		organism						# Q 923		6cd3-9d8e-f58c-d4fc	
a	bad reaction to medicine	is a kind of		problem						#1220		0de5-48b7-1fb5-acbb	
a	balance	is a kind of		instrument	for	measuring mass; measuring weight						fad5-a6d6-cfd6-b9ed	
	balancing a ball on one's nose	is a kind of		trick						#1345		c2b0-bd30-2dc8-376e	
a	ball	is a kind of		object								5650-b213-46ea-d9dd	
a	balloon	is a kind of		object						#421		93a8-6f1f-f6e7-e5bc	
a	bar	is a kind of		object								e9d2-21ea-0bdc-f4ca	
	bark	is a kind of		sound						#505		74e3-5983-4e66-f53f	
a	barometer	is a kind of		instrument						#428	Duplicate. All uses deleted.	51b6-c325-850e-8a22	
a	barometer	is a kind of		instrument	for	measuring air pressure				#1216		ab9f-bddf-b450-6260	
a	bat	is a kind of		animal						# Q 910		7ca2-740e-37f4-0a9e	
a	bat	is a kind of		mammal						# Q 683		4e61-2891-e675-3f88	
a	battery	is a kind of		object						#1206		7149-5022-cd2c-b375	
a 	battery 	is a kind of	electrical	power source								e861-1478-88b8-256f	
a	battery-operated device	is a kind of	electrical	device						#2959		0692-6be2-8fb9-41e9	
a	bay	is a kind of		body of water						# Q 2533		0596-e537-4cc3-192c	
a	beach	is a kind of		habitat; environment								2913-c482-da7e-b2f6	
a	beach	is a kind of		location						#748		7a02-3c43-f89e-8b50	
a	bean plant	is a kind of		plant								7881-6f75-7de9-2722	
a	bear	is a kind of		animal								5639-8136-4788-3ee6	
a	bear	is a kind of		predator						# Q 2263		5c21-099d-f9f3-b21c	
	becoming	is a kind of		action						#2913		5c94-ce1c-8f1c-221b	
	bedrock	is a kind of		rock								e9d6-4c3d-84ba-0cd0	
a	bee	is a kind of		insect						#2304		c992-df0e-a7ef-0873	
a	beetle	is a kind of		insect						# Q 2414		d607-bb66-20d2-effa	
a	behavior	is a kind of		characteristic						#273		de41-df04-573b-7370	
	being made of something	is a kind of		feature						#1342	Low quality. All uses deleted.	f1e7-dfb5-ae92-40cc	
	being sick	is a kind of		problem; harm						#1220		d509-052f-82a6-4c52	
a	berry	is a kind of		fruit								0d28-7059-bcd4-0859	
a	beverage	is a kind of		food								879e-75ee-34d3-b880	
a	beverage	is a kind of		liquid						#1856		c06c-117e-c8e2-2750	
a	bicep	is a kind of		muscle						#3337		c1c1-e547-de00-35ad	
a	bicycle	is a kind of		object						# Q 310		ab39-00a1-7fb7-b1d1	
a	bicycle	is a kind of		vehicle						# Q 310		b019-cdb9-47c8-1c40	
a	billion	is a kind of 		number						#  Q 2742		a001-8736-c54a-6b63	
	binoculars	are a kind of		instrument	for	observing distant objects				#1001		5009-5661-5c6a-ec21	
a	biofuel	is a kind of	alternative	energy resource						#2169		3352-8265-75b0-3355	
	biometric authentication	is a kind of 		technology						# Q 2255		6163-44ca-5c82-2756	
a	bird	is a kind of		animal								e26b-b21d-d4a3-25fc	
a	bird	is a kind of		animal							Duplicate. All uses deleted.	7f52-3b15-ed6e-171a	
a	bird	is a kind of		living thing								c2ef-566c-c356-778f	
	birds	are a kind of		predator						some birds	Moved to PREDATOR-PREY	5cc8-699f-54e8-acb7	
	black	is a kind of		color								7892-f43a-8f12-2a8d	
a	black-eyed Susan wildflower	is a kind of		flower						#857		ba0c-9558-8ad1-d90d	
a	blizzard	is a kind of		storm						#2653		4da6-c3de-0469-7d18	
a	block	is a kind of		object								aa85-b969-a168-ebce	
a	block	is a kind of		object							Duplicate. All uses deleted.	7345-8be9-7302-3f50	
	blubber	is a kind of		fat						# Q 968		e1b6-ff98-c47b-fd5a	
	blue	is a kind of		color								da13-6af7-4533-d9ca	
a	blue jay	is a kind of		bird						# Q 474		6350-c3b8-88a9-6c60	
a	board	is a kind of		object						# Q 1533		f2d9-9926-adab-4bb0	
a	body of water	is a kind of		environment						# Q 309		3f9d-8b3a-54b5-6a3c	
a	body of water	is a kind of	land	feature						# Q 1779		6159-8c5f-9204-67b2	
a	body part	is a kind of		object						#828		6be1-b308-a82c-c599	
a	body system	is a kind of		object						#3125		d66c-5801-f927-789f	
	boiling	is a kind of		phase change						#1603		edd3-cea2-f046-e76f	
a	book	is a kind of		object						# Q 1190		f3e2-6d60-0293-35e4	
a	bottle	is a kind of		container						#866		a824-aa4b-d228-d7c7	
a	boulder	is a kind of	large	rock								93f5-d52b-1446-d912	
a	boulder	is a kind of		rock						#3145		283c-4f87-4279-929c	
a	bowl	is a kind of		container						# Q 1930		13f6-64dd-d4b6-6fec	
a	box	is a kind of		object						#2380		1d87-b214-3eab-4a4e	
a	boy	is a kind of	young male	human						#718		e881-b28d-9433-c19d	
a	brain	is a kind of	internal	organ						# Q 1561		8e1c-a4f8-3938-b891	
a	brake	is a kind of		object						#2052		5368-ccdf-d870-eae9	
	brass	is a kind of		alloy								2843-571e-d3d2-d99d	
	bread	is a kind of		food						#1383		08c1-496e-6ad5-5c13	
	breaking down	is a kind of		forming						#159		18c0-bb11-0330-ae2c	
	breaking down	is a kind of		function						# Q 1975		5c20-2524-068f-74f6	
	breathing	is a kind of		process						# Q 511		daf3-3001-4bea-9034	
	breathing	is a kind of 		function						# Q 2476		dc43-d733-c6bc-1b6f	
a	breathing mask	is a kind of		piece of equipment	for	keeping harmful particles from entering the respiratory system				#3295		7831-a93b-d8f9-3d8e	
a	brick	is a kind of		object						# Q 1998		9615-0fc7-d7f5-487f	
	bringing	is a kind of		action						#2015		df95-f9f1-8e21-6054	
	bringing oxygen to the body	is a kind of		function						#1292		4043-728e-19d8-238d	
	bringing substances to the body	is a kind of		function						#2196		2a76-307e-23d8-5e78	
	brown	is a kind of		color								e864-93bd-18ea-8a13	
	brushing	is a kind of		action						#2980		b820-df19-f6bd-9f10	
a	bubble	is a kind of		object						#441		6656-785f-dbd2-4c9b	
a	buckeye tree	is a kind of	deciduous	tree						#3001		b203-0b97-52b0-4219	
a	bunting	is a kind of		bird						#2026		a9e5-5d52-2c62-c27d	
a	burner	is a kind of		object; surface						#1243		a5ab-7b37-388a-1cd3	
	burning	is a kind of		action						#1251		f056-ff9c-c044-c99a	
	burying	is a kind of		hiding						#1806		dad1-ceed-5798-500e	
a	bus	is a kind of		vehicle						#3105		7849-7999-9815-eae0	
a	bush	is a kind of		plant						#1410		311e-8d88-cde2-860d	
	butter	is a kind of		solid					below 32 degrees celsius			e9ec-d6ef-e1a0-97fd	
	butter	is a kind of		substance						# Q 221		e15d-0c5d-0e78-b5dc	
a	butterfly	is a kind of		animal						#404		f12e-5766-27fb-ebf8	
a	butterfly	is a kind of		insect						#1389		1310-8acf-1fa5-d8db	
a	butterfly	is a kind of		organism								847e-e7e6-d54e-e335	
a	cactus	is a kind of		plant						#1014		aadb-cb93-3373-eefa	
a	cactus wren	is a kind of		bird						# Q 2251		3068-39f6-82d0-ee19	
a	cake	is a kind of	baked	product						#595		e2a9-870f-4d89-e4b8	
a	calculator	is a kind of		tool						#1061		1c02-45a8-ac3d-d3e5	
a	camel	is a kind of		animal						#741		7c5c-d0bf-98c2-aab9	
a	camera	is a kind of		tool	for	recording images				#1422		3d59-043d-faf2-a90e	
	camouflage	is a kind of		adaptation	for	hiding		in an environment				c6ad-76f9-7f5c-33e0	
	camouflage	is a kind of		protection				against predators; from predators; against consumers				39b9-9637-538d-0d33	
a	camper	is a kind of		human						#1208		d57a-f3b8-87b3-73c6	
a	campfire	is a kind of		fire						#1240		db8c-9eae-6023-0d7b	
a	can	is a kind of		object								b85c-d197-cb03-a4f1	
a	can	is a kind of		container						#3213		1236-e177-9ba1-f9ad	
	cancer	is a kind of	abnormal	cell division						#2665		53c9-c2db-4ce8-b094	
a	candle	is a kind of		object						# Q 689		95ea-5ab6-c735-8ce5	
