X	[FILL] is a property of	Y	[FILL] includes	ORDERED/UNORDERED	[FILL] values of	VALUES	SCOPE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
a part of something	is a property of	that something						#2873	SW 9d6d-0971-e07f-1cf1	cd52-3484-7e91-c820	
ability to undergo a phase change	is a property of a	substance; material						#1603		8fca-420e-f8ad-082b	
acidity	is a property of	chemicals; substances	and includes	ordered	values of	basic; neutral; acidic		# Q 1184		6af8-1d7a-5fcd-3e77	
air pressure	is a property of	air; the atmosphere						# Q 428		0b32-125c-d57c-a9fb	
amount	is a property of	something	and includes	ordered 	values of	none; least; little; some; half; much; many; most; all				624a-c1ec-8c85-45ce	
boiling point	is a property of a	substance; material						# Q 1751		6c7e-2cf1-8a3f-b14a	
brightness	is a property of a	light source	and includes		values of	bright; dim		# Q 2710		2980-ded2-b96d-7722	
charge	is a property of	an object; a material; a substance	and includes	ordered	values of	negatively-charged; neutral; positively-charged		# Q 909		681b-df1b-33c5-3ad5	
class	is a property of	a rock	and includes		values of	sedimentary; metamorphic; igneous		#2301		ac6e-0804-8e8f-2943	
color	is a property of 	an object; a material						# Q 74		5c52-4f26-3883-a4ef	
composition	is a property of	an object; matter						# Q 1342		1d88-121f-5fd2-6ed8	
condition	is a property of	an environment						#2078		bb76-5bf9-7c9a-e096	
conductivity	is a property of a	material; substance						# Q 134, is okay?		d681-3158-6a99-253a	
density	is a property of	an object; a substance	and includes	ordered	values of	dense; not dense		#2051		b765-cf69-400e-c8f8	
depth	is a property of	the shape of an object						# Q 1530		1e74-5982-396e-69c8	
distance	is a property of	space	and includes	ordered	values of	close; far		#258		91b9-6388-d5b8-58b6	
flatness	is a property of	a surface; the shape of an object	and includes	ordered	values of	uneven; flat		#1433		046d-7605-f4cd-1f97	
flexibility	is a property of a	material						# Q 452, add values?		5109-65f3-6c0b-cecf	
freezing point	is a property of a	substance; material						# Q 1751		a665-2771-83e8-adb8	
frequency	is a property of	a wave; a particel of light; an event						#3299		6758-2fe3-2711-02aa	
hardness	is a property of a	material; an object	and includes	ordered	values of	malleable; rigid		# 1085		72e2-6cde-7faa-4d2b	
height	is a property of the	size of an object						# Q 2276		bb6d-ca48-eef1-5996	
humidity	is a property of 	weather	and include	ordered	values of	dry; humid		# Q 630		33cb-429a-ce86-2d79	
latitude	is a property of a	location; place					on Earth	#1334		ad6f-9b09-9cd6-69ab	
length	is a property of the	shape of an object						# 1151		0969-6f9e-9555-9731	
