[FILL] a/the	ADJ	THING	QUALIFIER1	[FILL] is/has	QUALIFIER2	MAGNITUDE	VALUE	ATTRIBUTE	SCOPE/RELATIVETO	[FILL] with values between	LOWERBOUND	[FILL] and	UPPERBOUND	UNITS	[FILL] for/to	PURPOSE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
a		part of a living thing		is			a natural	structure									# Q 616		0b7b-e025-3fb7-01dd	
an		acid		is			acidic										# Q 1184, fill in lower bound upper bound, move to PROP-CHEM-ACIDITY	SW 1ad7-136a-56f4-f1ce	a83c-9d85-5625-d525	
an		acid		is			corrosive										# Q 2281		600e-2982-f03f-82b4	
an		acid		is	often		sour	in taste									# Q 2281		aca1-2974-e3e8-a574	
		air masses formed over the ocean near the equator		are	usually		moist; warm										#2898 needs furthur breakdown		0e3b-a4d2-e548-54dc	
an		airplane		is			fast	in speed									#769		f39e-99d0-faec-c532	
		albumen		is			clear; transparent	in opacity									# Q 2236 MOVED TO PROP-MAT-OPACITY	SW 77bd-840b-a3d0-f19e	38c3-5d17-6de1-9b25	
		albumen		is			thick	in consistency									# Q 2236		37ad-c79a-f4d1-af25	
		alkaline earth metals		are		highly	reactive										# Q 2419 PROP-CHEM-REACT	SW 8dbd-92ae-4faf-370b	1f83-4554-edb5-95e6	
		aluminum		is			recyclable	    										Moved to Proto-Prop-Recyclable	bb4e-97eb-b86a-06b9	
an		amphibian		has			smooth	skin									#1687		d01a-a4c0-abba-7c09	
		amphibians		have			webbed	feet									#2873		ff9a-e88d-df49-261e	
the		Andromeda galaxy		is			2.5 million	light years	closer								# Q 2537 PROP-REL-DIST	SW 0239-6af2-d042-caf6	bbb5-7106-c013-725d	
a	poisonous	animal		is			dangerous										#554		3aee-f557-db87-1cce	
		Antarctica		is		extremely	cold	in temperature									# Q 2243		1f8f-10cc-81af-b835	
an	asexually produced	offspring		is			identical	in genes	to its parent								#2627		4601-cce0-f16b-6969	
		asphalt		has			a smooth	surface									# 560		201e-3e95-e41a-672d	
an		atom		is		exceptionally	small	in size											7caf-566e-855c-469b	
an		atom		is			the smallest	particle; unit	that has the properties of an element								#2332 comparsion 	SW 9059-174e-fc66-fd7a	3b8b-8c35-53cf-354f	
		bacteria		is			small; microscopic	in size									#1229		dda0-d5ba-63eb-7efa	
		bacteria		have			the greatest amount	of diversity									#3191		1b0b-d3eb-e1ef-6756	
a		bacterium		has				a capsule									#3394 partof	SW eb83-62bf-8bbf-f240	56ef-b8cb-b2e1-0389	
a		bacterium		has				an endospore									#3394 partof	SW 7e42-b991-545e-a85d	7a62-f156-8ba3-c3c9	
a		bacterium		has				a pili									#3394 partof	SW bb2a-e90d-6b1f-8855	87bb-9d3e-48ed-1c82	
		bark		is	usually		brown	in color									#459		8bb3-c62b-91dc-4004	
a		base		is			basic										# Q 1184		0dc5-1599-55c4-d922	
a		base		is			caustic; corrosive										# Q 2281		bedc-60fa-00a4-6ed7	
	some	birds		have			webbed	feet									#2873		15c2-9fc1-1818-eae5	
		blue eyes		is a			recessive	trait	in humans								# Q 2539 PROP-DOMRECESS-TRAIT	SW 8f5e-9e62-c05f-5d6e	2c27-619d-a770-0ae9	
the		body of a warm-blooded animal		is	usually		warm	in temperature									# Q 1546		c227-44da-44a9-1d09	
the		boiling point of water		is			212F; 100C; 373K										#1329		a10a-a44b-4ab6-225f	
	hollow	bones		are			lighter	in weight									# Q 1927		7e98-a3e5-b8ca-8603	
the		bottom of a body of water		is			the deepest										# Q 1783		7830-485a-4be0-309b	
the		brown tree snake		is			nonnative		to Guam								# Q 2535		b548-8bfa-2609-9f78	
a		canyon		is			a very big	crack	in the ground										b4a1-2f8f-4c7e-c2e2	
a		canyon		is			a very deep	valley											2cbd-efbb-f60c-be22	
		car accidents		are			dangerous										# Q 1592		b590-a5c1-13d1-7476	
		carbon dioxide		is			colorless												b872-e845-39f5-5b25	
		carbon monoxide		is			dangerous										#1840		647e-2661-236a-2a01	
		carpet		has			a rough	surface									#884		5d4c-1f90-7506-34e5	
a		carrion flower		has			a carrion-like	smell									# Q 1558		ac44-1bc1-1c8d-6525	
a		cell		is		very	small										#192		c22d-d40d-4d02-796e	
the		cell		is the		most	basic structural unit	of life									# Q 2409		54ad-8152-ae8a-27d4	
a		cell wall		is the			outermost	structure	of a plant cell								#2645		4172-46aa-e465-534f	
		cells		are a			smaller	level of organization	than tissues in living things								# Q 2299 comparison?	SW 85d2-d559-7a0a-aa1d	af18-b1d1-5953-609f	
	two somatic	cells	from the same multicellular organism	will have the			same number	of chromosomes									# Q 2512		9c99-32df-65de-ac9e	
the		chemical composition of moon rocks		is			similar		to the chemical composition of Earth rocks								#2872		58de-88a3-44ec-066f	
		chlorophyll		is			green	in color									#1686		e177-d259-0054-a88b	
a	closed	circuit		has			continuous	path									#1800		3c9d-e904-586a-2a9d	
		coal		is			black	in color											7fb2-6558-b28c-87e5	
		concrete		is	usually		a smooth	surface									#1456		2bcd-053b-16f1-66e2	
a		cushion		is			soft										#1817	SW 4ff7-4d81-11f0-5105	fd54-8b0f-b71d-e59c	
a		danger		is			dangerous										# Q 1592		722f-6492-305c-ddae	
a	sunny	day		has 			lots	of sunlight											794f-a751-b0d2-097f	
a	cloudy	day		has			little	sunlight									# Q 13		ed6f-25fd-dcd0-1af2	
a		desert		has			low	rainfall									#761	Moved to PROP-ENVIRONMENTATTRIB	4970-bab6-3e20-652d	
an		desert	usually	has			a lot	of sunlight									#1692	Moved to PROP-ENVIRONMENTATTRIB	7c2b-18d1-829c-048c	
a		desert	usually	is			hot	in temperature									#2085	Moved to PROP-ENVIRONMENTATTRIB	2ce9-8375-8a58-750f	
a		desk		is	usually		short	in height; in width											0100-2f53-c324-81e2	
a		desk	usually	has a				length		with values between	50	and	250	cm					389e-42be-0a2b-0683	
