ACTION1	[FILL] a	OBJECT/AGENT/PROCESS	SCOPE1	QUANTIFIER	VERB (requires)	ACTION2	QUANTITY/VALUE	[FILL] a	OBJECT	SCOPE2	[FILL] for	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE4	QUANTITY/RANGE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
		all cells			require	energy											# Q 2556		c583-5e80-c3f0-38a9	
repairing	an	organism			requires	cells working together											#3101		3c06-7426-57b6-76c6	
	an	animal			requires				air		for	survival							e918-e402-e4c8-3977	
	an	animal			requires				energy		to	move					#375		838c-30bf-9b24-714b	
	an	animal			needs to	eat			food		for	nutrients							7d29-0a2c-6959-b1dd	
	an	animal			requires			a	habitat		for	survival					# original: "habitats support animals" -- is there a generic way to reframe so we can also use the word "support"?		fc71-7a5d-6e7b-5f5a	
	an	animal			requires		enough		nutrients		to	maintain good health; survive					# 793		7db0-1827-aaaa-cc30	
	an	animal			requires				nutrients		to	grow and heal					# Q 398		12ed-f3da-04db-3ddc	
	an	animal			requires				shelter								# Add for/purpose?		44e1-a4d0-f534-fb1b	
	an	animal		usually	requires			a	warm body temperature		for	survival					# Q 304, combine wil above?		b08a-c1bc-23ee-1815	
	an	animal			requires				warmth		for	survival					#322		2280-1ce3-3320-9547	
	an	animal			needs to	move					to	find shelter					# 620		df9f-982c-aa68-428a	
	an	animal			needs to	attract		a	mate		to	reproduce					#2375		b625-36df-d6d8-0b4a	
	an	animal			requires			a	mate		to	fertilize an egg					#2375		a6ee-d241-3491-07d4	
	an	animal			requires				stamina; cardiovascular efficiency		to	succeed at physical activities					#2929		d178-f4e6-988f-2204	
	an	animal; bacterium			requires				oxygen		for	survival; to breathe							f59c-9a1b-f57b-d689	
	an	animal; living thing			requires				nutrients		for	survival							80de-489f-48b2-16f4	
		animals		usually	require	removing			salt	from water	for	drinking					#765		d3bf-8edc-c2a9-df49	
		animals			require				fertilization		to	reproduce					#2375		c4ff-15ca-a4ab-4ffb	
		animals; living things			require				water		for	survival							732f-cb0b-50b4-ad0d	
	an	aquatic animal; aquatic plant			requires		great amounts of		water		to	survive; thrive					#817		335b-df55-9aa4-74ac	
		astronauts			require				preserved food		for	extended flights					#3361		e9e6-3be1-0f75-2810	
operating	an	automobile		usually	requires				fossil fuels								#2972		dada-1ff5-eaf9-f0d7	
pedalling	a	bicycle			requires	moving		the	pedals						in a circular motion		# Q 135		aa32-7fa4-4468-3d58	
		broken bones			require				healing								#1666		55ad-db14-b2ff-b591	
		cells			require				oxygen		for	fuel							c37e-1c44-bf2c-3755	
		cells	working together		requires	cells to specialize											#3101		6b91-ab1c-3b4f-6a99	
	a	cellular telephone			requires				electromagnetic radiation	in the radio wave region of the spectrum	for	operation					#2360		9cb7-a50b-e994-ee33	
drying		clothes	on a clothesline	does not	require				electricity								#3016		1743-42a7-441a-dc5a	
using		coal			requires	burning			coal								#2987		27e9-ab90-81ed-4957	
forming		coal; fossil fuels			requires	deposition and burial of			decaying vegetation								# Q 1152		69e3-9034-d59c-1674	
looking in	a	container		sometimes	requires	opening			that container								# Q 1539		a280-cb5c-23dc-75f5	
planting		crops			requires	growing			crops								#377		be6c-e07f-062e-3207	
		detailed observation	of celestial objects		requires			a	telescope								# Q 951		44f4-634f-79d8-75d7	
	a	device			requires				energy		to	operate					#3290		d004-b094-84e7-6ea6	
making		discoveries			requires	observing											#3319		3719-105c-7b06-2038	
	an	egg			requires				warmth		to	survive; hatch; develop					# Q 687		a395-cfde-0f24-1823	
		electric devices			require				electrical energy		to	function					# Q 35		0584-393a-7b86-9c70	
	an	electrical device			requires				electricity		to	turn on					#1293		4ba9-2d5a-0284-2882	
powering	an	electrical device	with a battery		requires			a	path	for electricity	to	flow	through	a closed circuit			# Q 1739, "purpose -> to complete a closed circuit" -> transfer for closed circuit definition		0b18-91e7-5692-5753	
		electrical insulation			requires	wrapping		a	conductor	in an insulator							#1054		6152-0048-10b7-5dd7	
producing		electricity		sometimes	requires	burning			oil								#2040		524e-2e12-7c8b-f5cb	
		experimentation			requires				factors to be kept constant								#482	Low quality. No uses.	7f4b-8d9c-f5a8-1f08	
		experimentation			requires	measuring											#482		e1e1-8127-43cc-b6bf	
		experimetnation			requires		many		measurements								#326		195d-1a9a-bd8f-5d4d	
	a	fire			requires 				oxygen		to	burn					# Q 2484		204f-bd48-cf69-828a	
	a	flashlight			requires			a	source of electricity		to	produce light							e1cb-6dbd-0bf8-8d18	
cooking		food			requires	adding			heat energy	to the food							#830		3d03-670e-3580-8f82	
		force			requires				energy								#3275		4e7a-99dd-9244-c38f	
using	a	gasoline engine			requires	burning 			gasoline								#1239		1893-0c1c-dddc-e8c4	
		glacial activity			requires				an arctic environment								#2918		082e-92e8-c73f-a9de	
measuring	the	hardness	of minerals		requires 	scratching			those materials								# Q 603, ???		757d-cd70-0857-0d35	
		healing			requires				rest; nutrients; energy								# 1303		fae2-7a13-e5eb-07b7	
removing		hot objects	from a heat source		requires				thermal insulators								# Q 914		4a89-0774-ec0d-d44f	
building		housing developments; dams; roads		usually	requires	replacing; destroying			animal habitats								break out into separate rows		02d9-ec74-0c49-8fcd	
	a	human			requires				new information		to	invent things					#444		0f69-e684-8421-00ae	
	a	human			requires				sleep; rest		to	be healthy							5b55-22e0-6067-9ef9	
		hydropower			requires	damming		a	river								#2191		9b27-4e05-92ed-e884	
slipping on		ice			requires	walking on			that ice								#1382		30eb-7982-028c-4f0f	
casting	an	image of an object	through a pinhole onto a screen	does not	require	looking directly at		the	object								#1834		9b3e-7893-591c-c45a	
		infection		often	requires				medical treatment								#2968		b557-2178-a7c4-51aa	
		investigation		sometimes	requires				experimentation								#482		e0c1-2f0f-8fa6-28d2	
flying	a	kite			requires				wind								#2130		d042-a628-d170-532f	
performing		lab expiriments accurately			requires	reading; understanding	all		directions						beforehand		#1070		c003-e5f0-d0c5-e922	
investigating	the	life cycle	of a living thing		requires				that living thing to be alive								# Q 1745		24a0-6fbe-c3ae-d6ee	
	a	light bulb			requires				electrical energy		to	produce light					# Q 1701		737b-c59a-2215-29e1	
		living things		all	require				energy		for	survival							54ed-5fd9-0f44-64b7	
		living things			require				respiration		to	use energy					# Q 952		995d-01f9-c9a9-9896	
		magnetism		does not	require	contact between			objects		to	act					#1460	SW f273-cb72-b4dd-f0ab	ffdf-9b51-2f63-0791	
		maintaining homeostasis			requires	respiration											# Q 2232		d632-2d7e-6409-9e58	
		male animals			require				sperm cells		to	reproduce					#2860		aa88-461f-28ee-54f3	
		mass production			requires				assembly lines								#3380		08b1-acd3-294f-720d	
cutting	a	material		usually	requires	measuring			length								# 481, split OBJECT and WHAT into N V and N V ? 		8eef-9fa6-ffe3-c079	
studying		moving habits			requires	knowing			location								#1432		d5a9-c02e-a6e4-392f	
		navigation			requires	knowing			direction								# Q 107		e97b-a0ad-44fb-fbc3	
pushing	an	object			requires				force								#730		cd52-a711-b031-51a8	
using	an	object		often	requires	creating			that object								#327		5c98-332a-07bc-25e6	
flying	an	object			requires				lift		to	oppose the object's weight					#2341		06a4-918e-c991-d2f9	
hammering	an	object			requires				movement								#3207		4de5-30cc-3960-c655	
recording	an	observation		sometimes	requires	measuring											#  Q 1981		50a5-5c13-ea54-0220	
construction		of a building		usually	requires	clearing		the	land						as the first step; beforehand		# Q 2282		81f5-b83b-8ddb-cba7	
	an	organism			requires				energy		for	growth; repair					#707		5aba-6d6d-1c38-fe18	
creating		paper			requires	cutting down			trees								# 1012, 963, seems like a lot in the columns.		6b51-f1bc-8a3b-f29a	
warning 		people	of something		requires	knowing about; predicting		that	something								#2091		ddaf-860d-fe67-ae1e	
	a	person			requires				instructions		to	assemble			a kit; something		# OK? (306)		b18d-21e4-cd6b-fc65	
using	a	pesticide		usually	requires	spraying			that pesticide						on crops		# Q 50		977b-ea07-b44f-bca9	
	a	pioneer organism			requires			the	ability	to be resistant to disturbances							#3250		9125-69d7-e133-00e9	
