[FILL] a	STAGE	QUANTIFIER1	[FILL] is a stage in the	PROCESS	[FILL] process	SCOPE	QUANTIFIER2	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
	adulthood		is a stage in the	life cycle	process					1323-e32a-5c92-8dbb	
	coal		is a stage in the	rock cycle	process				incorrect	8372-00a5-181a-ed20	
	condensation		is a stage in the	water cycle	process					533a-06f9-f6cc-18f4	
	decomposition		is a stage in the	carbon cycle	process					8343-85e2-dc31-6005	
an	egg		is a stage in the	life cycle	process	of some animals			egg is not a name of a stage	e76c-d8bc-9c51-ca6b	
	evaporation		is a stage in the	water cycle	process					d013-ec1c-88f4-fae9	
	fertilization		is a stage in the	sexual reproduction	process					7062-9b88-0291-7a17	
	gamete development		is a stage in the	sexual reproduction	process					95a9-c39d-4224-47ce	
	growth		is a stage in the	life cycle	process					9102-2919-4524-85be	
	high tide		is a stage in the	tide cycle	process					8317-e088-279b-ba21	
	low tide		is a stage in the	tide cycle	process					568b-892b-0284-5037	
	metamorphosis		is a stage in the	life cycle	process	of some animals				cda4-808d-0e93-2541	
	oxygen		is a stage in the	carbon dioxide-oxygen cycle	process					b221-8fe0-8d8a-0e36	
	precipitation		is a stage in the	water cycle	process					12e1-c575-a443-87f3	
the	pupa stage		is a stage in the	metamorphosis	process	of some animals				cc84-f709-3933-9af1	
	reproduction		is a stage in the	life cycle	process					7289-5346-1246-0060	
	fertilization	is not	a stage in the	asexual reproduction	process			# Q 2227		12ce-fbfe-7ad4-fbaf	
	embryos		are a stage in the	animal development	process			# Q 2241		1188-4d07-4747-4983	
	cross-pollination		is a stage in the	sexual reproduction	process	of plants		# Q 2246		e477-2c0c-9782-8b1b	
	runoff		is a stage in the	water cycle	process			# Q 2498		72aa-5f6e-639e-aef0	
	infiltration		is a stage in the	water cycle	process			#2877		173a-dee9-f720-633b	
	decomposition		is a stage in the	nutrient recycling	process					2078-7d29-3896-595e	
a	white dwarf		is a stage in the	life cycle	process	of stars				aa6c-9346-a3b2-ca69	
a 	planetary nebula		is a stage in the	life cycle	process	of stars				c176-88e8-b50c-94de	
	recrystallization		is a stage in the	formation	process	of metamorphic rocks	only			bba6-a8d2-48c2-fbc2	
a	main sequence star		is a stage in the	life cycle	process	of stars				ea3b-d3ec-8f10-547a	
the	formation of metamorphic rock		is a stage in the	formation	process	of rock cycle				5277-f36c-e774-28b6	
a	red giant		is a stage in the	life cycle	process	of stars				6676-f074-fec7-b8a7	
	transpiration		is a stage in the	water cycle	process					7893-9c24-3199-bd03	
	taking in carbon dioxide		is a stage in the	photosynthesis	process					1b22-3f5e-5fba-14f1	
