[FILL] a/the	SUBDIVISION	[FILL] is a 	ADJ	TYPE OF SUBDIVISION	[FILL] found at the	PART	WHOLE	[FILL] by (mechanism)	HOW	[FILL] for/to	FOR/PURPOSE	[FILL] by/through	BY/THROUGH/HOW	SCOPE	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
	bark	is a	protective	covering	around the	trunk of; branches of	a tree								# Q 1		4bbd-68e4-692b-c8db	
the	cell membrane	is the		membrane	around the		cell							of all living things	# 937		3992-7d34-e964-2e4f	
a	coast	is where		land	meets the	edge of	a body of water								# 544		8d65-5a72-dae4-fb86	
the	crust	is a		layer	of the		Earth								# Q 479		27e0-dacf-5177-e23c	
	fur	is a		covering	around the	body of	an animal								# 1096		0e13-f49d-f3ee-6cd6	
a	glove	is a		covering	around the		hand			for	protection				# Q 1743		bfcf-e1cc-cbe0-f10f	
the	mantle	is a		layer	of the		Earth								# Q 479		d7f8-a2da-a673-23e2	
	scales	are a		covering	around the	body of	a scaled animal								# Q 999		ae2c-3485-b503-7d22	
a	shore	is the		land	found at the	edge of	a body of water								# 734		bf74-5557-dd78-d5c8	
	skin	is the	first; outermost	layer	around the	body of	some animals								#1357		87f9-3bab-fa6f-f24c	
the	inner core	is a		layer	of the		Earth								# Q 2722		3d92-9685-db29-ff41	
	snow	is a		covering	found on the	surface of	an arctic environment										feb7-2d78-e5c7-f3cd	
the 	outer core	is a		layer	of the		Earth										fabf-9b62-87b0-b4bb	
the	asthenosphere	is a		layer	of the		Earth										1d6c-6f57-9053-e16b	
the	lithosphere	is a 		layer	of the		Earth										0514-a495-cb90-2f34	
the	troposphere	is a	lower	layer	of		Earth's atmosphere										24f8-3e5d-4744-4f42	
the	thermosphere	is a 		layer	of		Earth's atmosphere										61d7-9c65-b290-2be7	
the	hydrosphere	is a	thin	layer		of water covering	the Earth's surface										0ee4-725a-36e1-bfa7	
the	stratosphere	is a		layer	of		Earth's atmosphere										2b6d-ec8c-1864-c2e3	
the 	mesosphere	is a		layer	of		Earth's atmosphere										7313-b37c-eea7-8724	
a	shell	is a		covering	around the	body of	a shelled animal										b3a6-9eda-f74e-3d5c	
