X1	ACTION1	Y1	[FILL] is/is similar to/means	X2	ACTION2	Y2	[SKIP] COMMENTS	[SKIP] DEP	[SKIP] UID	
a boat			is similar to	a ship			# Q 1707		2e50-5461-745a-36ee	
a cable			is similar to	a wire					e77b-df5f-c14c-c531	
a climate			is synonymous with	an environment 			# Q 919 Incorrect -- climate is a property of an environment	SW 9475-4764-3df1-f75b	0696-4d28-5530-2f95	
a component of something			means	a part of that something			# 1218		7743-074e-340e-e2e9	
a computer	controlling	a robot	is similar to	a brain	controlling	a human body			d9d2-f2b1-7891-153d	
a concern; a problem			is	a possible negative impact			# Q 50	SW b6cd-be94-b334-d1e1	d055-74a0-b787-57b8	
a demonstration			is similar to	an example					f7cb-5d13-2753-d89d	
a function			is	an activity			# 731		cedb-3691-d453-fabe	
a good conductor			is	a conductor					7f34-d679-9088-bc21	
a half of Earth			is	a hemisphere of Earth			# Q 2149		4ba2-35d1-c2d9-ca91	
a hand lens; a magnifying lens			is synonymous with	a magnifying glass			# Q 136		ad83-d37c-9b46-94cd	
a hare			is similar to	a rabbit			# Q 459		de78-b97b-5963-fb87	
a kind of something			is	an example of that something			# Q 949		1b3f-b617-d7ef-1815	
a part of something			means	a characteristic of something			#861		e6ee-3492-89ae-73d8	
a plant			is	a member of a plant species			#598		fb5f-417c-8bf2-037e	
a positive impact			is 	a benefit			# Q 44		d0e2-806e-adad-7e98	
a positive impact			is	a helpful effect			# Q 1771		1f4c-09cb-8d13-2701	
a property of something			is	a feature of that something			# Q 24		73e8-63d3-28a9-7f8e	
a region			is similar to	an environment					91cc-2488-b3f3-beac	
a renewable resource			is	a natural resource			# Q 455	FALSE, not equal. 	462f-0e75-97ec-060c	
a result of something			is	evidence of that something			# Q 1776		b3ff-b14c-becf-25b6	
a role in the ecosystem			is	a role in the food chain process			# Q 1787		25c2-cd2a-8053-4695	
a sharp sense			is	an enhanced sense			# Q 1790		8f95-5431-bea6-4649	
a sign of something			is	evidence of that something			# Q 1776		d21d-46cd-1480-2250	
a structure of something			is synonymous with	a part of that something			# Q 145		3d76-6d66-4a17-7ae2	
a type			is synonymous with	a kind			# Q 113		db0b-31a1-91ab-6996	
a vibration			is similar to	a wave					9072-0c5d-d333-d1ce	
action			means	activity			#2130		2479-774e-9ef8-d595	
all the other			means	the rest of			#464		6328-829b-22db-6428	
amount			is similar to	number			#710		c0f6-a9cd-57b3-ae50	
amount of daylight			means	length of daylight			#168		63b4-4d77-7768-da8c	
an adaptation			is	an advantage			# Q 641		c807-08b5-6f5d-e86a	
an adaptation			is	an adaptive feature			# Q 1126		6f25-0200-16e0-4389	
an animal			is	a member of an animal species			# Q 695		3f4c-c241-6217-60ff	
an area	receiving	rain	means	rain	falling	in that area	# Q 903		94f1-7e8b-5438-dfdb	
an environment			is similar to	an ecosystem					c1d3-4ab4-b443-aac3	
an environment			means	an area			# 465		1240-2639-9a5f-96cd	
an inherited characteristic			is	an acquired characteristic			#185	Not true. No uses. 	ecd5-7900-cafd-a816	
an object			is	an item			# Q 456		d326-a597-1e70-347e	
an organism			is	a living thing					87a0-dd02-dd6d-ee60	
	to anchor		means		to provide	support	#177		42d5-c036-5d21-b206	
animal instinct			means	instinctive behavior			# Q 946		a0d1-5016-59b4-faaa	
annual			means	once per year			#408		4e76-f56b-867d-34d3	
another			means	different			#770		5457-5b8e-eb6c-aea1	
apart			means	away					6e81-2024-ba28-312f	
appliance			is similar to	technology			#558		2d70-7bf6-5bc2-e3f2	
approximately			means	about			#1349		1a4b-82df-0613-5268	
aquatic animal			means	water animal			# Q 43		dfda-0bf5-6a91-6d09	
area			is similar to	location			#349		9f7e-705f-3053-4c6b	
astronomy			is	the study		of space; of celestial bodies	#1841	DEPRECATED: Relationship is more complex than SYNONYMY ? 	ada1-d625-8fda-f911	
atmosphere			means 	air					9568-cc75-424d-e775	
average			is similar to	usual			#		f5fa-f560-be88-5c62	
beneficial			means	helpful					8641-2ccd-4c11-a122	
best			means	most positive			# Q 56		20e2-689d-b7c6-528a	
